#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
142,239.874524189,-53.7827708188,17.329,0.005,1.351,0.014,INDEF,INDEF,1.753,0.005
143,239.922861405,-53.7318872903,17.338,0.005,1.351,0.015,INDEF,INDEF,1.798,0.005
144,239.89324405,-53.7848285865,17.343,0.005,1.417,0.015,INDEF,INDEF,1.808,0.006
145,239.946552667,-53.7484993198,17.346,0.005,1.465,0.015,INDEF,INDEF,1.896,0.006
146,239.856094203,-53.7493688078,17.369,0.005,1.32,0.014,INDEF,INDEF,1.755,0.005
147,239.835952556,-53.7762597074,17.394,0.005,1.436,0.016,INDEF,INDEF,1.783,0.005
148,239.86624647,-53.7234442696,17.428,0.006,1.415,0.018,INDEF,INDEF,1.638,0.007
149,239.968542592,-53.7354868353,17.476,0.005,1.287,0.015,INDEF,INDEF,1.683,0.005
150,239.85501749,-53.7271392644,17.49,0.006,1.385,0.016,INDEF,INDEF,1.773,0.006
151,239.959370842,-53.7809729393,17.498,0.005,1.469,0.018,INDEF,INDEF,1.947,0.005
152,239.930653825,-53.8015191581,17.511,0.006,2.179,0.035,INDEF,INDEF,2.426,0.006
153,239.934154116,-53.785773203,17.518,0.005,1.514,0.02,INDEF,INDEF,1.905,0.006
154,239.906294865,-53.7433145703,17.537,0.007,1.334,0.018,INDEF,INDEF,1.616,0.007
155,239.927122592,-53.7738155346,17.538,0.007,1.259,0.017,0.781,0.095,1.479,0.01
156,239.928127414,-53.7301515998,17.582,0.006,1.453,0.02,INDEF,INDEF,1.896,0.006
157,239.884073278,-53.7705601236,17.582,0.006,1.477,0.019,INDEF,INDEF,1.804,0.006
158,239.918205825,-53.7615446896,17.584,0.007,1.627,0.024,INDEF,INDEF,1.684,0.008
159,239.937701396,-53.7519860712,17.589,0.007,1.222,0.017,INDEF,INDEF,1.644,0.007
160,239.89963554,-53.7691696965,17.593,0.006,1.542,0.022,INDEF,INDEF,1.89,0.007
161,239.848458787,-53.7794436292,17.629,0.006,1.337,0.019,INDEF,INDEF,1.779,0.006
162,239.96837431,-53.760796164,17.633,0.006,1.388,0.019,INDEF,INDEF,1.738,0.006
163,239.913547866,-53.7749584666,17.639,0.007,1.198,0.017,INDEF,INDEF,1.616,0.007
164,239.869313928,-53.7783592352,17.679,0.006,1.657,0.025,INDEF,INDEF,2.697,0.006
165,239.970428289,-53.7598696153,17.689,0.007,1.394,0.02,INDEF,INDEF,1.791,0.008
166,239.868687002,-53.7966664729,17.698,0.008,1.67,0.026,INDEF,INDEF,1.462,0.009
167,239.933469736,-53.7464082517,17.71,0.006,1.295,0.019,INDEF,INDEF,1.62,0.007
168,239.861084326,-53.7397572902,17.727,0.008,1.32,0.02,INDEF,INDEF,1.743,0.01
169,239.963396366,-53.7490944543,17.732,0.008,1.421,0.021,INDEF,INDEF,1.81,0.008
170,239.958888456,-53.7326051637,17.738,0.007,1.34,0.02,INDEF,INDEF,1.784,0.007
171,239.914153215,-53.7429486971,17.748,0.006,1.372,0.021,INDEF,INDEF,1.801,0.008
172,239.893708057,-53.7738622506,17.75,0.006,1.214,0.018,INDEF,INDEF,1.586,0.007
173,239.935088868,-53.7875823603,17.753,0.006,2.091,0.038,INDEF,INDEF,2.761,0.006
174,239.949791882,-53.7650739079,17.761,0.009,1.702,0.028,INDEF,INDEF,2.073,0.009
175,239.878716186,-53.7491078323,17.769,0.007,2.434,0.055,INDEF,INDEF,3.004,0.007
176,239.850038922,-53.729633115,17.775,0.006,1.342,0.02,INDEF,INDEF,1.751,0.007
177,239.900114298,-53.7281257878,17.775,0.007,1.303,0.022,INDEF,INDEF,1.713,0.007
178,239.956270616,-53.7316075558,17.783,0.007,1.349,0.021,INDEF,INDEF,1.783,0.007
179,239.856588579,-53.7522328532,17.791,0.007,1.459,0.023,INDEF,INDEF,1.89,0.007
180,239.909485847,-53.7320402646,17.792,0.007,1.402,0.022,INDEF,INDEF,1.855,0.008
181,239.94377128,-53.7595575542,17.8,0.007,1.43,0.023,INDEF,INDEF,1.829,0.007
182,239.833644442,-53.7395839403,17.806,0.007,1.486,0.023,INDEF,INDEF,1.875,0.007
183,239.844506334,-53.7905991704,17.818,0.009,1.31,0.022,INDEF,INDEF,1.453,0.009
184,239.938485061,-53.7868486313,17.82,0.007,1.593,0.027,INDEF,INDEF,2.092,0.007
185,239.9610069,-53.7381762898,17.826,0.008,1.284,0.02,INDEF,INDEF,1.784,0.008
186,239.869388702,-53.7499481501,17.85,0.008,1.685,0.029,INDEF,INDEF,2.24,0.008
187,239.871434439,-53.7537474435,17.853,0.007,1.377,0.023,INDEF,INDEF,1.795,0.007
188,239.853718623,-53.7403818099,17.857,0.008,1.353,0.023,INDEF,INDEF,1.777,0.008
189,239.869698172,-53.7424783104,17.864,0.008,1.386,0.023,INDEF,INDEF,1.792,0.008
190,239.861336622,-53.7570799581,17.869,0.007,1.283,0.021,INDEF,INDEF,1.576,0.007
191,239.891096578,-53.7669673701,17.936,0.009,1.614,0.031,INDEF,INDEF,2.089,0.009
192,239.926925878,-53.7513426979,17.942,0.008,1.532,0.027,INDEF,INDEF,1.801,0.008
193,239.926660797,-53.7925113675,17.952,0.008,1.644,0.033,INDEF,INDEF,2.023,0.008
194,239.922499895,-53.7338523866,17.966,0.008,1.586,0.029,INDEF,INDEF,2.039,0.008
195,239.954105346,-53.7690300475,17.988,0.008,1.506,0.028,INDEF,INDEF,1.952,0.008
196,239.890639241,-53.7522714704,17.992,0.008,1.36,0.025,INDEF,INDEF,1.948,0.008
197,239.965336916,-53.7316634154,17.994,0.009,1.371,0.026,INDEF,INDEF,1.711,0.009
198,239.881136195,-53.747746023,18.001,0.009,1.322,0.025,INDEF,INDEF,1.448,0.012
199,239.970562309,-53.7414052094,18.022,0.009,1.425,0.028,INDEF,INDEF,1.941,0.009
200,239.963807835,-53.7347636469,18.073,0.01,1.424,0.03,INDEF,INDEF,1.771,0.013
201,239.944853728,-53.7405029253,18.076,0.009,1.404,0.028,INDEF,INDEF,1.864,0.009
202,239.941179,-53.7849973989,18.093,0.01,1.525,0.031,INDEF,INDEF,2.017,0.01
203,239.86693429,-53.7728320462,18.104,0.009,1.291,0.027,INDEF,INDEF,1.678,0.009
204,239.833957996,-53.7850405753,18.104,0.011,1.371,0.029,INDEF,INDEF,1.618,0.01
205,239.923311102,-53.8021677296,18.105,0.009,2.052,0.052,INDEF,INDEF,2.546,0.009
206,239.876552051,-53.7684571072,18.109,0.009,1.311,0.026,INDEF,INDEF,1.617,0.01
207,239.943409536,-53.7977129508,18.144,0.009,1.54,0.035,INDEF,INDEF,1.979,0.009
208,239.843459745,-53.7551318314,18.145,0.009,1.476,0.032,INDEF,INDEF,INDEF,INDEF
209,239.858002891,-53.7255691104,18.17,0.01,1.479,0.032,INDEF,INDEF,1.679,0.01
210,239.959532696,-53.7668995636,18.178,0.01,1.442,0.032,INDEF,INDEF,1.899,0.01
211,239.959217395,-53.7504609537,18.179,0.01,1.475,0.034,INDEF,INDEF,1.941,0.01
212,239.870752231,-53.7723582779,18.182,0.009,1.394,0.031,INDEF,INDEF,1.736,0.009
213,239.967192916,-53.7702645794,18.188,0.011,1.583,0.036,INDEF,INDEF,1.796,0.011
214,239.947485721,-53.7241012469,18.194,0.009,1.332,0.029,INDEF,INDEF,1.82,0.009
215,239.864454089,-53.7740864713,18.202,0.01,1.516,0.035,INDEF,INDEF,1.887,0.01
216,239.839995643,-53.7481244401,18.224,0.011,1.512,0.034,INDEF,INDEF,1.953,0.011
217,239.859174084,-53.7869082509,18.231,0.01,1.514,0.035,INDEF,INDEF,1.754,0.011
218,239.950701944,-53.7585671632,18.249,0.011,1.139,0.028,INDEF,INDEF,1.615,0.012
219,239.931158816,-53.7505290119,18.263,0.01,1.615,0.039,INDEF,INDEF,1.858,0.01
220,239.954661492,-53.7976171488,18.269,0.01,1.597,0.04,INDEF,INDEF,2.073,0.01
221,239.898338674,-53.736548441,18.275,0.011,1.418,0.032,INDEF,INDEF,1.823,0.011
222,239.954869777,-53.7341281131,18.277,0.011,1.481,0.036,INDEF,INDEF,1.699,0.011
223,239.88421363,-53.7460762517,18.281,0.012,1.443,0.035,INDEF,INDEF,1.811,0.012
224,239.878103527,-53.7298161538,18.284,0.01,1.514,0.038,INDEF,INDEF,1.854,0.01
225,239.886609238,-53.7471893455,18.299,0.012,1.729,0.045,INDEF,INDEF,1.931,0.013
226,239.951666672,-53.7845892272,18.301,0.011,1.549,0.038,INDEF,INDEF,2.026,0.01
227,239.951959969,-53.7404680714,18.305,0.011,1.41,0.034,INDEF,INDEF,1.745,0.011
228,239.872896546,-53.7475912103,18.356,0.012,1.444,0.039,INDEF,INDEF,1.85,0.012
229,239.893961064,-53.7762896285,18.358,0.012,1.452,0.038,INDEF,INDEF,1.783,0.012
230,239.961322487,-53.7673547708,18.369,0.011,1.634,0.045,INDEF,INDEF,2.809,0.011
231,239.950469174,-53.8026242852,18.376,0.011,1.477,0.039,INDEF,INDEF,2.009,0.011
232,239.945923848,-53.7808002095,18.407,0.015,1.638,0.048,INDEF,INDEF,2.156,0.016
233,239.925338042,-53.7867577361,18.432,0.011,1.526,0.044,INDEF,INDEF,2.01,0.011
234,239.916607143,-53.7903006266,18.44,0.012,1.361,0.039,INDEF,INDEF,1.808,0.012
235,239.948570657,-53.7434680271,18.478,0.013,1.434,0.041,INDEF,INDEF,1.767,0.013
236,239.949560335,-53.7824449305,18.481,0.012,1.557,0.046,INDEF,INDEF,1.992,0.012
237,239.940461617,-53.7667331414,18.501,0.012,1.501,0.047,INDEF,INDEF,1.867,0.012
238,239.933713932,-53.7445759911,18.502,0.014,1.514,0.046,INDEF,INDEF,1.795,0.014
239,239.91576316,-53.7876984959,18.518,0.013,1.451,0.044,INDEF,INDEF,1.717,0.013
240,239.903939762,-53.7603085409,18.54,0.017,1.97,0.077,INDEF,INDEF,2.218,0.017
241,239.91488962,-53.7896849665,18.57,0.013,1.385,0.043,INDEF,INDEF,1.889,0.014
242,239.865014685,-53.7974100429,18.627,0.015,1.469,0.051,INDEF,INDEF,1.848,0.015
243,239.945546589,-53.7676562677,18.715,0.016,1.556,0.06,INDEF,INDEF,2.052,0.016
244,239.879105959,-53.7972295001,18.726,0.016,1.536,0.056,INDEF,INDEF,1.837,0.016
245,239.890910889,-53.7789344638,18.77,0.018,1.514,0.06,INDEF,INDEF,1.729,0.019
