#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
47        166.478178249 -62.5183373646    16.698     0.003     0.874     0.004     0.251     0.014    -0.412    -0.162    -0.545      1.03     6.072      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
48        166.384858465 -62.4763151585     16.75     0.003     1.258     0.004     0.174     0.018    -3.103    -0.295    -1.062      1.55    10.226      B0.1        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
49        166.451948929 -62.5111146707    16.764     0.003     1.158     0.004     0.766     0.039     6.127     0.865     0.558      0.29     0.886      K1.5     2.546     0.249     0.071      0.91     1.903        A8     0.886    -0.071    -0.185      1.22     2.625      B8.9        --        --        --        --        --        --
50        166.398494265 -62.4795087249    16.773     0.003     1.274     0.004     0.385     0.035    -1.494     -0.22    -0.798      1.49     5.365      B2.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
51        166.380965077 -62.5212447405    16.796     0.003     1.077     0.005     0.522     0.034     5.322     0.721     0.269      0.35     1.196        G7     3.302     0.384    -0.007      0.69     1.867        F3     0.139    -0.129    -0.415       1.2     3.867      B6.5        --        --        --        --        --        --
52        166.34526619 -62.4879132439    16.816     0.003     1.197     0.004     0.735     0.041     5.909     0.822     0.466      0.37     0.895      K0.5     2.737     0.288      0.04      0.91     1.785      A9.5     0.683    -0.092    -0.267      1.28      2.71      B8.2        --        --        --        --        --        --
54        166.349728018 -62.5211508615    16.833     0.003     0.918     0.004     0.602     0.031     6.163     0.873     0.573      0.04     1.286      K1.5     2.491      0.23     0.082      0.69     2.758      A7.5     0.998     -0.06    -0.141      0.97     3.679      B9.2        --        --        --        --        --        --
57        166.381056529 -62.4796655941    16.893     0.003     1.123     0.004     0.441     0.037    -0.477    -0.166    -0.559      1.28     4.791      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
58        166.343509303 -62.5012655563    16.936     0.003     1.254     0.005     0.869     0.044     6.236     0.887     0.603      0.36     0.826      K1.5     2.502     0.234      0.08      1.02     1.796      A7.5     0.958    -0.065    -0.157      1.31     2.417      B9.1        --        --        --        --        --        --
59        166.39958962 -62.4838012213    16.977     0.003     1.285     0.005     0.252     0.024    -2.503    -0.274    -0.981      1.55     8.611      B0.7        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
60        166.360563588 -62.5057525736    16.982     0.003     1.146     0.004     0.636     0.047     5.626     0.771     0.365      0.37     1.101        G9     2.953     0.326     0.015      0.82     1.983        F1     0.429    -0.111    -0.343      1.25     3.432      B7.5        --        --        --        --        --        --
61        166.463260849 -62.4796251725    16.986     0.003     1.044     0.005     0.488     0.031     5.257      0.71     0.248      0.33     1.384      G6.5     3.345     0.391    -0.008      0.65     2.114        F4      0.12     -0.13     -0.42      1.17     4.445        B6        --        --        --        --        --        --
66        166.310878758 -62.5162655584    17.105     0.047     1.198     0.045     0.648     0.043     5.497     0.749     0.324      0.44     1.119        G8     3.127     0.355    -0.001      0.84     1.882        F2     0.294    -0.119    -0.377      1.31     3.549        B7        --        --        --        --        --        --
67        166.386350723 -62.5254326291    17.129     0.003     1.073     0.005     0.436     0.026     4.784     0.617     0.105      0.45     1.549        G1     4.305     0.534     0.027      0.54     1.699        F9    -0.281    -0.155    -0.517      1.22     5.316        B5        --        --        --        --        --        --
68        166.38455611 -62.5234776163    17.181     0.003     0.973     0.005     0.548     0.026     5.837     0.807     0.435      0.16     1.478        K0     2.764     0.293     0.036      0.68     2.896      A9.5     0.674    -0.092     -0.27      1.06     4.408      B8.2        --        --        --        --        --        --
69        166.34157869 -62.4762943843    17.201     0.003     1.018     0.005     0.594     0.045     5.873     0.815     0.451       0.2     1.386      K0.5     2.737     0.288      0.04      0.73     2.755      A9.5     0.707    -0.089    -0.257       1.1     4.137      B8.3        --        --        --        --        --        --
72        166.459671809 -62.4758962835    17.222     0.004     1.201     0.006     0.659      0.06     5.539     0.757     0.337      0.44     1.158        G8     3.084     0.347     0.002      0.85     1.998        F2     0.332    -0.117    -0.367      1.31     3.679        B7        --        --        --        --        --        --
73        166.424303563 -62.5141390094    17.238     0.003      1.32     0.006     1.134     0.072     6.897     1.049     0.944      0.27     0.796        K3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
74        166.319578077 -62.4867443237    17.246     0.004     1.075     0.005     0.572     0.044     5.597     0.766     0.356       0.3     1.393        G9     2.997     0.333      0.01      0.74     2.461        F1      0.41    -0.112    -0.347      1.18     4.321      B7.5        --        --        --        --        --        --
75        166.400954877 -62.4654299145    17.264     0.004     1.072     0.006     0.362     0.027    -0.738     -0.18    -0.614      1.25      6.69        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
76        166.381734944 -62.4752913648    17.294     0.004     1.152     0.006     0.564     0.035     5.235     0.706     0.241      0.44     1.377        G6     3.424     0.403     -0.01      0.75     2.037        F4     0.042    -0.135    -0.439      1.28     4.536        B6        --        --        --        --        --        --
79        166.342049028 -62.4968545076    17.345     0.004     1.128     0.006      0.52     0.043     5.062     0.673     0.189      0.45     1.505      G4.5     3.678      0.44    -0.006      0.69     2.021        F6    -0.055    -0.141    -0.464      1.26     4.998      B5.5        --        --        --        --        --        --
90        166.382569033 -62.4676244884     17.56     0.004      1.05     0.007      0.41     0.042     4.724     0.605     0.087      0.44      1.97      G0.5     4.261     0.527     0.021      0.52     2.175        F9    -0.314    -0.157    -0.524       1.2     6.772      B4.5        --        --        --        --        --        --
91        166.356967525 -62.4819559443    17.573     0.004      0.96     0.006     0.287     0.047    -0.608    -0.173    -0.586      1.13      8.62        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
92        166.357523139 -62.4864808511    17.615     0.005     1.192     0.008     0.762     0.088     6.018     0.844     0.512      0.34     1.284        K1     2.646     0.269     0.055      0.92     2.651        A9     0.771    -0.083    -0.232      1.27     3.815      B8.5        --        --        --        --        --        --
93        166.476486319 -62.4628126013    17.623     0.004     1.274     0.008     0.805     0.074     5.945     0.829     0.481      0.44     1.155      K0.5     2.719     0.284     0.043      0.99     2.328      A9.5     0.688    -0.091    -0.265      1.36     3.498      B8.3        --        --        --        --        --        --
94        166.424851879 -62.4857933452    17.728     0.005     1.075     0.008      0.32      0.05    -0.967    -0.193    -0.662      1.26     9.074      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
98        166.346089102 -62.4699456492    17.884     0.005     1.161     0.009     0.663     0.077     5.713     0.785     0.392      0.37     1.602      G9.5      2.91     0.318     0.019      0.84     2.979        F1     0.507    -0.106    -0.323      1.26     4.946      B7.5        --        --        --        --        --        --
