#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
130,166.321318453,-62.4816212726,18.543,0.009,1.23,0.016,INDEF,INDEF,1.734,0.009
131,166.356725989,-62.4795981191,18.548,0.008,1.442,0.018,INDEF,INDEF,1.942,0.009
132,166.449433823,-62.5100069159,18.558,0.009,1.381,0.023,INDEF,INDEF,1.845,0.011
133,166.483364445,-62.4986885077,18.562,0.009,1.347,0.022,INDEF,INDEF,1.676,0.01
134,166.388942522,-62.4590525241,18.566,0.009,1.325,0.017,INDEF,INDEF,1.681,0.009
135,166.442575098,-62.4709714241,18.574,0.009,1.238,0.016,INDEF,INDEF,1.563,0.011
136,166.353205647,-62.454137853,18.593,0.011,1.256,0.017,INDEF,INDEF,1.52,0.012
137,166.352800541,-62.5143353852,18.616,0.009,1.387,0.019,INDEF,INDEF,1.94,0.01
138,166.39048181,-62.4875943412,18.654,0.01,1.328,0.019,INDEF,INDEF,1.808,0.012
139,166.393693998,-62.5166320089,18.7,0.012,1.484,0.022,INDEF,INDEF,1.896,0.012
140,166.339027732,-62.5107185733,18.711,0.012,1.162,0.022,INDEF,INDEF,1.463,0.013
141,166.415465075,-62.5243202447,18.885,0.011,1.433,0.03,INDEF,INDEF,1.832,0.012
142,166.4322162,-62.4839205384,18.892,0.013,1.501,0.038,INDEF,INDEF,1.945,0.014
143,166.328121122,-62.4630283078,18.921,0.012,1.282,0.021,INDEF,INDEF,1.665,0.013
144,166.46224487,-62.4887864738,18.929,0.013,1.307,0.024,INDEF,INDEF,1.623,0.014
145,166.408023192,-62.4999250834,18.931,0.013,1.238,0.022,INDEF,INDEF,1.575,0.014
146,166.3276521,-62.5193168026,18.937,0.012,1.379,0.024,INDEF,INDEF,1.581,0.013
147,166.337378745,-62.5017430539,18.962,0.013,1.289,0.023,INDEF,INDEF,1.468,0.015
148,166.429163072,-62.488962839,18.99,0.012,1.271,0.023,INDEF,INDEF,1.799,0.013
149,166.333450532,-62.4908820416,19.029,0.013,1.388,0.033,INDEF,INDEF,1.662,0.015
150,166.423900272,-62.51154251,19.066,0.016,1.423,0.038,INDEF,INDEF,1.827,0.017
151,166.40304942,-62.5152506541,19.079,0.014,1.582,0.04,INDEF,INDEF,2.04,0.015
152,166.397222016,-62.4531323072,19.127,0.014,1.388,0.034,INDEF,INDEF,1.717,0.015
153,166.470810721,-62.457894791,19.128,0.015,1.445,0.03,INDEF,INDEF,1.958,0.016
154,166.406963574,-62.4799080526,19.143,0.014,1.64,0.053,INDEF,INDEF,2.183,0.015
155,166.352842649,-62.5167979603,19.16,0.014,1.625,0.044,INDEF,INDEF,2.047,0.015
156,166.331277116,-62.4996903981,19.236,0.016,1.291,0.044,INDEF,INDEF,1.862,0.017
157,166.476060923,-62.4731687701,19.308,0.016,1.514,0.038,INDEF,INDEF,1.845,0.018
158,166.341617505,-62.480523684,19.371,0.018,1.555,0.047,INDEF,INDEF,1.911,0.018
159,166.393294319,-62.4503803721,19.416,0.018,1.448,0.048,INDEF,INDEF,1.767,0.02
160,166.421634742,-62.5099190912,19.437,0.021,1.691,0.06,INDEF,INDEF,1.923,0.022
161,166.435307188,-62.4909232206,19.481,0.022,1.489,0.055,INDEF,INDEF,1.841,0.023
162,166.345230519,-62.4788063392,19.691,0.025,1.238,0.051,INDEF,INDEF,1.674,0.027
