    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
   47   2.25   254.93563615600   -40.22315413140      0.1204      0.1501     -1.0360      0.2160     -0.5720      0.1560     17.5422      0.0125     14.6169      0.0029     12.1790      0.0240     11.3360      0.0250     10.8150      0.0270     10.3080      0.0890     10.1300      0.0700      9.3500      0.1420      ------      ------      9.2990      0.0310      9.0460      0.0290      4.2210      0.0320      0.4010      0.0270     17.3720      0.0050      1.8750      0.0290      ------      ------      2.8960      0.0050
   48   2.43   254.90410052500   -40.22996946530      0.9256      0.1094      2.1950      0.2350     -2.5020      0.1440     17.7154      0.0075     16.1009      0.0050     14.7710      ------     14.0290      ------     13.9760      0.0860      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.4750      0.0050      1.2150      0.0170      ------      ------      1.4490      0.0060
   49   2.53   254.87655415500   -40.22195660900      1.0655      0.1190      0.0290      0.2280     -6.4650      0.1600     17.7072      0.0130     16.0689      0.0151     14.8550      0.0360     14.3070      0.0510     14.3670      0.0810     14.2940      0.1220     13.9840      0.2140      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5070      0.0050      1.2980      0.0190      ------      ------      1.4690      0.0060
   50   3.69   254.86709849800   -40.24087375190      0.5727      0.1981      2.9550      0.3160      0.2510      0.2760     17.7315      0.0097     16.2434      0.0109     15.2910      0.0320     14.8100      0.0730     15.1020      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5610      0.0060      1.0760      0.0160      ------      ------      1.3350      0.0070
   51   0.65   254.90419064000   -40.19872440570      0.7723      0.1113      1.7390      0.2420     -0.8300      0.1530     17.6231      0.0227     16.1105      0.0075     15.1290      0.0950     14.3890      0.0750     14.1280      0.0830      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5810      0.0060      1.1580      0.0190      ------      ------      1.3770      0.0070
   52   0.60   254.90098515400   -40.19486801550      0.8299      0.1189      3.4650      0.2660      5.5030      0.1680     17.6830      0.0191     16.1794      0.0039     15.0700      0.0810     11.7720      ------     10.8750      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.6480      0.0060      1.0550      0.0180      ------      ------      1.3760      0.0070
   53   1.48   254.93618328500   -40.20666504370      0.4503      0.2126      1.5180      0.3160      0.3210      0.2610     17.9638      0.0206     16.0694      0.0060     14.6660      0.0380     13.9460      0.0280     13.9110      0.0520      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7130      0.0060      1.4040      0.0250      ------      ------      1.7610      0.0070
   54   2.24   254.87921480200   -40.21731560230      0.9622      0.1348     -5.1850      0.2580    -18.5930      0.1780     17.9514      0.0114     16.3166      0.0053     15.0500      0.0480     14.5140      0.0600     14.2880      0.0670      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7580      0.0070      1.3450      0.0230      ------      ------      1.4760      0.0080
   55   3.29   254.91505252400   -40.24473913740      0.4776      0.1332     -0.2560      0.2910     -3.5140      0.1830     18.1518      0.0164     16.5392      0.0068     15.2020      ------     14.2060      ------     14.5800      0.0980      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.8870      0.0070      1.2560      0.0270      ------      ------      1.4650      0.0080
   56   2.49   254.88032688500   -40.22338587760      0.9063      0.1873     -7.2640      0.3480     -4.0350      0.2410     18.1086      0.0122     16.4199      0.0074     15.1420      0.0440     14.4240      0.0540     14.2370      0.0800     13.7310      0.0880     13.8540      0.1600      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.9310      0.0080      1.2860      0.0280      ------      ------      1.5370      0.0090
   57   1.96   254.87237815700   -40.20118811900      1.0912      0.1275     -2.7020      0.2860    -12.8230      0.1830     18.1294      0.0133     16.2571      0.0039     14.9430      0.0690     13.4540      ------     13.0630      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.9690      0.0080      1.5520      0.0350      ------      ------      1.7920      0.0090
   58   2.25   254.88289831300   -40.21987366150      0.7769      0.2016      0.2080      0.3850      0.1270      0.2700     18.3507      0.0217     16.5546      0.0119     15.3270      0.0510     14.6000      0.0540     14.3300      0.0770      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.1410      0.0100      1.3930      0.0360      ------      ------      1.6390      0.0100
   59   3.46   254.90589854100   -40.24742332220      0.7880      0.1722     -2.8130      0.4130    -10.2070      0.2480     18.4162      0.0206     16.4960      0.0067     14.9830      0.0570     14.4500      0.0670     14.1470      0.0870     13.6810      0.1740     13.4530      0.2340      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.1900      0.0100      1.4330      0.0390      ------      ------      1.7870      0.0100
   60   1.91   254.91352791600   -40.22190181550      0.5429      0.1806      1.7450      0.3860    -21.3580      0.2440     18.4701      0.0152     16.7439      0.0122     15.4410      0.0710     14.7700      0.0750     14.5890      0.1240      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.2960      0.0110      1.1500      0.0340      ------      ------      1.5920      0.0110
   61   2.27   254.90828074200   -40.22776692510      0.5298      0.1719      4.5450      0.3740     -0.3960      0.2300     18.4875      0.0190     16.6929      0.0061     15.1370      0.0380     14.0660      0.0480     13.4070      0.0460     12.5370      0.0710     12.4140      0.0880      ------      ------      9.7270      0.1690     11.4470      0.0510     14.4830      ------      8.7240      0.2880      1.5660      0.0620     18.3480      0.0110      1.3260      0.0410      ------      ------      1.7220      0.0120
   62   3.13   254.89107514800   -40.23962015810      0.6073      0.2142     -1.8220      0.4060     -1.8700      0.2820     18.6378      0.0239     16.7343      0.0051     15.2420      0.0670     14.5960      0.0690     14.3120      0.0940      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.4580      0.0140      1.3510      0.0480      ------      ------      1.8130      0.0140
   63   2.69   254.85844182400   -40.20745728270      0.8954      0.0373      0.6580      0.0600     -2.5180      0.0480     14.2350      0.0015     13.0979      0.0010     12.2540      0.0240     11.8700      0.0320     11.8070      0.0510     11.7590      0.0380     11.8500      0.0760      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.0590      0.0010      0.8180      0.0020      0.2270      0.0040      1.0060      0.0020
