    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
  ---   4.14   112.58943116400   -18.53255773380      0.4156      0.0681     -0.4610      0.0860      1.9370      0.1020     17.4202      0.0042     16.0078      0.0029     14.9380      0.0430     14.5470      0.0650     14.3750      0.0870      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.14   112.46535569700   -18.48615617010      0.3386      0.1379      3.7050      0.1870      0.7030      0.1960     18.8838      0.0206     17.2092      0.0059     15.9940      0.1070     15.5220      0.1710     15.1510      0.1810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.15   112.58932283700   -18.54196491040      1.8602      0.2015     -8.2830      0.2340     -4.5320      0.2690     19.9265      0.0306     17.3270      0.0051     15.7570      0.0820     14.9900      0.0880     14.5290      0.1110      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.15   112.46407269000   -18.48709107010      1.1101      0.3137     -9.8270      0.4380      8.5390      0.4870     20.2548      0.0557     17.9456      0.0121     16.4250      0.1310     15.5950      0.1560     15.3380      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.17   112.57747797300   -18.57383185030      1.4948      0.0426     -2.9640      0.0500     -5.4310      0.0570     16.3506      0.0023     14.9495      0.0011     13.9190      0.0310     13.3850      0.0290     13.2540      0.0300      ------      ------      ------      ------      ------      ------      ------      ------     12.9990      0.0290     13.1330      0.0310      9.3530      0.2330      4.5950      0.0630      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.17   112.55768225300   -18.59264146380      0.1285      0.3143     -1.3290      0.3800      3.6400      0.4440     20.0739      0.0412     17.8773      0.0101     16.4180      0.1390     15.4050      0.1300     15.0530      0.1570      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.17   112.45073769600   -18.50463295080      1.5407      0.0289      3.7520      0.0390     -2.8920      0.0420     14.0540      0.0014     13.2305      0.0011     12.6180      0.0230     12.3010      0.0250     12.2580      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     12.1940      0.0280     12.2320      0.0320     10.8460      ------      8.0520      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.17   112.46645175100   -18.48432861670      3.6202      0.2719    -15.2300      0.3750      9.1630      0.3900     20.6333      0.0622     17.7348      0.0100     15.9460      0.0970     15.3770      0.1430     14.5290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.18   112.46778700400   -18.48302811470      0.3363      0.2460     -1.9700      0.3440     -1.1680      0.3600     19.7914      0.0371     17.9266      0.0131     16.5580      0.1440     15.7760      0.2000     15.4900      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.19   112.59013010200   -18.53994397910      1.8376      0.0443     -8.3190      0.0500     -4.3920      0.0590     16.3937      0.0028     14.8397      0.0013     13.7690      0.0310     13.1900      0.0320     13.0130      0.0380      ------      ------      ------      ------      ------      ------      ------      ------     12.2390      0.0270     12.1270      0.0300      7.9990      0.0360      7.5470      0.1960      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.19   112.57693455300   -18.49483469940      0.4705      0.2050     -1.5270      0.2490      3.0000      0.2780     19.3336      0.0314     17.5579      0.0079     16.4640      0.1560     15.5970      0.1480     15.1700      0.1600      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.21   112.57966583500   -18.49830964710      0.3933      0.0900     -1.9170      0.1120      2.4060      0.1270     18.0247      0.0073     16.4164      0.0026     15.2760      0.0620     14.7020      0.0710     14.7190      0.1220      ------      ------      ------      ------      ------      ------      ------      ------     13.6710      0.0380     13.5100      0.0610     10.8750      0.2050      7.0840      0.1060      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.21   112.59043638900   -18.52982307800      0.8058      1.5877     -1.2640      2.0640      1.6150      2.4330     22.5170      0.2443     19.3064      0.0445     15.7360      0.0740     14.2610      0.0550     13.5730      0.0370      ------      ------      ------      ------      ------      ------      ------      ------     12.9480      0.0320     13.1140      0.0340     11.6450      ------      8.5960      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.20   112.48551786600   -18.59849978520      0.4667      0.1950     -1.1230      0.2470     -0.3330      0.2940     19.4473      0.0211     17.8700      0.0094     16.6010      0.1500     17.2560      ------     15.3330      0.2130      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.24   112.49374102300   -18.46783210330      0.5136      0.0307     -0.6770      0.0400     -0.4440      0.0420     15.0111      0.0030     12.5306      0.0013     10.6360      0.0230      9.7940      0.0230      9.4760      0.0190      ------      ------      ------      ------      ------      ------      ------      ------      9.2370      0.0230      9.2780      0.0210      7.8940      0.0560      5.4690      0.0750      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.27   112.49175229100   -18.46786122140      0.7121      0.2036     -2.1200      0.2760     -0.0610      0.2920     19.7945      0.0377     17.6246      0.0105     15.8560      0.2140     15.0480      0.4380     14.7060      0.1930      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.29   112.52304198200   -18.60620477870      0.6099      0.1141     -0.5980      0.1380      0.7610      0.1560     18.2882      0.0096     16.9538      0.0045     15.9730      0.1070     15.5400      0.1420     15.5100      0.2180      ------      ------      ------      ------      ------      ------      ------      ------     15.3320      0.0820     16.7530      ------     11.6690      ------      8.4060      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.29   112.48506800000   -18.47011000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.1230      ------     15.8360      0.2020     14.6770      0.1060      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.29   112.57981324500   -18.49585660800      0.3976      0.1250     -1.4550      0.1610      2.2110      0.1880     18.5805      0.0103     16.9651      0.0046     15.8360      0.0890     15.3510      0.1080     15.1790      0.1750      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.30   112.44409638200   -18.51492700940      0.3491      0.1063     -2.0710      0.1440      2.5330      0.1570     18.4616      0.0136     16.8328      0.0052     15.7230      0.0780     15.3020      0.1070     14.8690      0.1440      ------      ------      ------      ------      ------      ------      ------      ------     15.7920      0.1950     16.1530      ------     11.1720      ------      8.5350      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.31   112.46313630800   -18.58589547560      0.2812      0.2076     -2.0430      0.2570      1.3240      0.2910     19.5363      0.0247     17.7699      0.0104     16.3280      0.1110     15.8940      0.2010     15.6720      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.32   112.48028658400   -18.59811090670      0.1904      0.2159     -2.8740      0.2730      2.1910      0.3180     19.5763      0.0307     17.8566      0.0098     16.6090      0.1530     15.8020      0.2000     15.5970      0.2620      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.32   112.49271924000   -18.60329035700      0.7261      0.0990      1.5580      0.1230      0.5980      0.1390     18.3322      0.0089     16.6866      0.0035     15.6260      0.0730     14.9060      0.0730     14.6750      0.1130      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.34   112.46016561600   -18.58352890360      1.0628      0.0308     -4.1270      0.0380     -3.4650      0.0420     13.0866      0.0011     12.3609      0.0007     11.8540      0.0230     11.6300      0.0220     11.5710      0.0230      ------      ------      ------      ------      ------      ------      ------      ------     11.4260      0.0230     11.4720      0.0230      9.4800      0.1040      8.7810      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.34   112.53009480300   -18.60618487760      0.4001      0.0624     -4.1990      0.0830      1.0650      0.0960     17.1870      0.0054     15.9762      0.0021     15.1890      0.0540     14.6800      0.0750     14.5500      0.1010      ------      ------      ------      ------      ------      ------      ------      ------     14.3300      0.0400     16.8240      ------     11.3260      ------      8.5440      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.34   112.45749844100   -18.58051826760      1.6614      0.3926      0.3280      0.5290     -3.8110      0.5900     21.4035      0.1170     18.3852      0.0156     16.3710      0.1300     16.1250      0.2450     15.3310      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.34   112.56257907800   -18.47717817370      0.6684      0.3449     -3.4790      0.4690      2.4130      0.5290     20.5592      0.0788     18.3723      0.0159     16.2830      0.1280     15.9340      0.1930     15.2940      0.2060      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.35   112.52472053900   -18.46287542760      1.2354      0.2826     -4.0000      0.3980     -2.2680      0.4620     20.0946      0.0517     18.0309      0.0112     16.6030      0.1690     15.8170      0.1770     16.0600      0.3820      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.35   112.44665618300   -18.50602009340      0.3533      0.0732     -1.6730      0.1040      1.6790      0.1200     17.7135      0.0067     16.1557      0.0034     15.0390      0.0460     14.6350      0.0570     14.5130      0.0980      ------      ------      ------      ------      ------      ------      ------      ------     14.3420      0.0520     14.6130      0.1010     11.1600      ------      7.3390      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.35   112.45195836000   -18.57359092560      ------      ------      ------      ------      ------      ------     18.9924      0.0171     16.4619      0.0037     14.9190      0.0430     14.2060      0.0440     13.9520      0.0640      ------      ------      ------      ------      ------      ------      ------      ------     13.9410      0.0730     13.8730      0.1150     11.5190      ------      8.8970      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.35   112.54466146300   -18.46750338000      0.4643      0.0859     -0.1760      0.1040      5.3780      0.1190     17.8667      0.0056     16.3921      0.0030     15.3010      0.0640     14.8910      0.0840     14.8240      0.1290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.36   112.47874912400   -18.59816745030      0.4869      0.1102     -1.8830      0.1380      2.2640      0.1630     18.3786      0.0108     16.9146      0.0045     15.7130      0.0780     15.5740      0.1520     14.6610      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.37   112.50006112100   -18.60617224450      0.4142      0.1307     -0.9270      0.1680     -0.6770      0.1860     18.6256      0.0122     17.1090      0.0047     15.9830      0.1010     15.2700      0.1280     14.6660      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.38   112.51096031000   -18.46213711530      1.0203      0.0845      1.2370      0.1150     15.1500      0.1180     17.7623      0.0116     16.4230      0.0046     15.4440      0.0580     14.9750      0.0850     14.6890      0.1150      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.39   112.57608054000   -18.58182434740      0.2890      0.0757     -0.7410      0.0930      5.2090      0.1100     17.5643      0.0056     16.1460      0.0031     15.1100      0.0520     14.6850      0.0770     14.6750      0.1130      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.40   112.48770631400   -18.60297154480      0.2063      0.0239     -1.2770      0.0280     -0.0570      0.0310     14.3003      0.0013     13.2796      0.0009     12.5270      0.0240     12.3150      0.0230     12.1990      0.0270      ------      ------      ------      ------      ------      ------      ------      ------     11.8330      0.0240     11.9060      0.0240     10.6440      0.1390      6.6060      0.0860      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.40   112.44159370200   -18.51721358890      0.2232      0.0481     -2.1170      0.0670      2.4790      0.0730     17.2549      0.0065     15.3384      0.0025     13.8650      0.0390     13.3320      0.0490     13.0740      0.0350      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.41   112.57528626700   -18.58307647920      0.3677      0.0373     -3.0090      0.0450      2.8810      0.0510     15.8639      0.0017     14.8752      0.0012     14.1140      0.0460     13.9360      0.0590     13.7000      0.0560      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.41   112.46682640800   -18.59123245130      0.3271      0.0224     -1.7590      0.0280      4.4450      0.0300     14.8751      0.0018     12.9700      0.0007     11.4910      0.0230     10.8350      0.0250     10.6110      0.0190      ------      ------      ------      ------      ------      ------      ------      ------     10.4440      0.0220     10.4860      0.0210      8.4770      0.0470      6.3740      0.0880      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.41   112.43942591000   -18.54070822430     -0.2995      0.2739     -2.2470      0.3510      3.0310      0.4050     19.7444      0.0889     17.4426      0.0202     15.1200      0.0560     14.2190      0.0730     13.8420      0.0630      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.43   112.49922462500   -18.60695502960      0.3536      0.0681     -2.1770      0.0890     -1.2140      0.1000     17.4407      0.0043     16.0201      0.0020     14.9690      0.0610     14.5810      0.0890     14.1130      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.7560      0.0310     14.1800      0.0550     10.1020      0.2350      6.7940      0.1530      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.43   112.44055992400   -18.51962855720      0.5339      0.0190     -0.9400      0.0250      0.0870      0.0290     14.4464      0.0017     12.5115      0.0011     11.0490      0.0230     10.4050      0.0230     10.1790      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     10.0070      0.0230     10.0700      0.0220     11.6750      ------      8.2170      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.44   112.55782268400   -18.47219564680      0.3384      0.1622     -3.0710      0.2200      0.6800      0.2530     19.3659      0.0235     17.3286      0.0080     15.9170      0.0990     15.3380      0.1070     14.7260      0.1050      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.44   112.50878900000   -18.46144700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0370      0.2350     15.6860      0.2010     15.3430      0.2150      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.44   112.50398900000   -18.46197900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.3020      ------     15.8520      ------     14.9280      0.1470      ------      ------      ------      ------      ------      ------      ------      ------     12.9370      0.0330     12.9250      0.0340      7.7520      0.0310      5.3920      0.0540      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.45   112.46120240800   -18.58733338690      0.4742      0.0644     -0.4480      0.0820     -1.1190      0.0940     17.4087      0.0052     15.9617      0.0023     14.9870      0.0430     14.5820      0.0670     14.3440      0.0840      ------      ------      ------      ------      ------      ------      ------      ------     13.6820      0.0310     13.5220      0.0440      8.8680      0.0630      6.7140      0.1020      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.47   112.56525159100   -18.47649717170      0.7893      0.0289     -0.0820      0.0360     -7.1850      0.0390     15.3839      0.0020     14.4228      0.0011     13.7360      0.0300     13.4590      0.0320     13.3180      0.0410      ------      ------      ------      ------      ------      ------      ------      ------     13.2920      0.0320     13.5940      0.0590     12.2870      ------      8.9910      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.47   112.56402336100   -18.59445729580      0.3993      0.0449     -0.8100      0.0590      1.4040      0.0630     16.5634      0.0028     15.3007      0.0018     14.3390      0.0450     13.8990      0.0740     13.7110      0.0810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.48   112.44291437400   -18.50905625710      0.5011      0.0386     -3.2940      0.0520     -0.9430      0.0590     16.5060      0.0032     15.0463      0.0017     14.0080      0.0280     13.6630      0.0270     13.4180      0.0490      ------      ------      ------      ------      ------      ------      ------      ------     13.4610      0.0360     13.5580      0.0600     11.2680      ------      7.9240      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.48   112.45081227900   -18.49422244030      0.3792      0.2484     -7.1980      0.3540      5.5300      0.3840     20.0965      0.0561     18.0942      0.0131     16.5200      0.1440     16.2620      ------     15.0210      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.48   112.54953657800   -18.46707992100     -0.1262      0.4651     -0.3400      0.6180      1.9980      0.6500     21.4598      0.1512     18.3613      0.0134     15.3650      0.0720     14.2420      0.0500     13.6410      0.0490      ------      ------      ------      ------      ------      ------      ------      ------     13.1960      0.0270     13.4320      0.0580     11.9510      ------      7.8660      0.2330      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.49   112.45302051200   -18.49083315180     -0.0362      0.1538     -1.8700      0.2070      0.3550      0.2180     18.3687      0.0139     16.7072      0.0042     15.4560      0.0620     15.0460      0.1010     14.6100      0.1210      ------      ------      ------      ------      ------      ------      ------      ------     14.8670      0.1330     15.0970      0.2430     10.4380      ------      8.0160      0.3810      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.49   112.57246911100   -18.58792236990      0.2037      0.0519     -1.7500      0.0640      2.4180      0.0770     17.2409      0.0035     15.2111      0.0020     13.6590      0.0260     13.1920      0.0290     12.9260      0.0370      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.49   112.59101216700   -18.56048679770      0.8351      0.0432     -4.4480      0.0510     -2.0360      0.0580     15.9593      0.0043     14.9359      0.0029     14.1590      0.0310     13.8010      0.0450     13.6080      0.0490      ------      ------      ------      ------      ------      ------      ------      ------     13.6220      0.0440     14.0850      0.1150     12.1970      ------      8.7150      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.51   112.55850913100   -18.59892865740     -0.5113      1.9264     -0.8780      2.4260      1.5830      2.4610     21.4051      0.1166     19.1024      0.0324     16.7170      0.1770     15.7180      0.1570     15.1120      0.1530      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.51   112.55732426800   -18.47044808200      1.0703      0.0390     -8.4040      0.0530      5.3590      0.0620     16.2631      0.0027     15.0671      0.0019     14.2220      0.0360     13.8750      0.0520     13.6730      0.0540      ------      ------      ------      ------      ------      ------      ------      ------     13.4600      0.0280     13.8770      0.0610     11.5630      ------      8.9530      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.51   112.43751900000   -18.53040100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.4140      0.0620     13.5960      0.0330     12.7030      0.0290      ------      ------      ------      ------      ------      ------      ------      ------     12.1650      0.0330     11.9330      0.0390      9.5600      0.2800      6.6500      0.2290      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.52   112.55146052600   -18.60265963980      2.4788      0.2107      4.6910      0.2660     -2.0730      0.2890     19.4601      0.0226     17.1836      0.0055     15.5530      0.0690     15.1940      0.1000     14.9070      0.1360      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.52   112.45120239100   -18.49236912240      0.3678      0.1591      1.0020      0.2190     -1.9930      0.2390     19.1121      0.0279     17.3994      0.0069     16.3140      0.1210     15.8260      0.1890     15.2170      0.1900      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.53   112.48385900000   -18.46630300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7930      ------     15.2730      0.1870     13.3190      0.0660      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.53   112.58162772800   -18.57869277710     -0.5015      1.7996     -1.5050      1.3830      2.1660      1.9380     21.8806      0.1429     19.1582      0.0337     16.5180      0.1550     15.0860      0.0870     14.4710      0.0860      ------      ------      ------      ------      ------      ------      ------      ------     13.9420      0.0600     13.4100      0.0350      8.5290      0.1120      4.4930      0.0570      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.54   112.43718892900   -18.54157511470      1.2349      0.5204     -1.2900      0.7050      2.4050      0.7810     21.1786      0.0990     18.6549      0.0241     16.2390      0.1250     15.3160      0.1540     14.2620      0.0780      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.55   112.48647100000   -18.46475400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.8800      ------     15.5100      0.2500     12.6490      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.55   112.48471700000   -18.46545200000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2490      ------     13.9490      0.1110     12.1090      0.0510      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.55   112.53660463900   -18.60852961620      0.3535      0.0246     -1.5700      0.0310      2.5430      0.0340     14.4744      0.0015     13.9557      0.0014     13.5090      0.0260     13.4630      0.0320     13.4220      0.0470      ------      ------      ------      ------      ------      ------      ------      ------     13.2710      0.0240     14.1290      0.0550      9.9950      0.1040      5.7930      0.1060      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.56   112.53018903900   -18.46015071770      0.5491      0.2259     -2.0150      0.3060      2.8930      0.3250     20.1154      0.0490     17.6866      0.0082     15.7130      0.0860     14.9440      0.0930     14.4050      0.0880      ------      ------      ------      ------      ------      ------      ------      ------     13.7820      0.0300     13.9560      0.0530      9.4120      0.0640      9.0440      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.57   112.44477488900   -18.50093600500      0.7927      0.2153     -1.1590      0.2710     -1.0760      0.3290     19.4627      0.1291     17.6528      0.0114     15.8060      0.0900     15.3010      0.1500     15.1230      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6520      0.0360     15.3540      0.1250     11.1360      ------      8.2410      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.56   112.59586199000   -18.52334435740      ------      ------      ------      ------      ------      ------     17.3148      0.0052     15.8944      0.0025     14.9030      0.0450     14.2830      0.0520     14.3620      0.0850      ------      ------      ------      ------      ------      ------      ------      ------     14.1740      0.0490     15.3270      0.1300     11.1260      ------      7.9260      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.56   112.43670084000   -18.54047235380      0.6353      0.3229     -0.7860      0.4620      1.4660      0.5070     20.8350      0.0963     17.9921      0.0220     15.8180      0.0970     14.4070      0.1040     13.8430      0.0780      ------      ------      ------      ------      ------      ------      ------      ------     12.1010      0.0300     11.4690      0.0270      9.3290      0.2690      7.0140      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.57   112.56043957600   -18.59891529120      0.4636      0.0615     -1.5430      0.0740      1.4230      0.0870     16.9825      0.0027     15.7578      0.0025     14.8920      0.0410     14.4940      0.0630     14.4240      0.1020      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.58   112.52256475700   -18.45886191110      0.6792      0.2705     -2.3020      0.3960      0.9040      0.4390     20.1129      0.0526     17.9665      0.0102     16.5840      0.1520     15.8000      0.1810     15.0210      0.1680      ------      ------      ------      ------      ------      ------      ------      ------     14.1490      0.0400     14.4790      0.0610      8.7150      0.0330      6.3980      0.0820      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.59   112.47543712200   -18.60077474140      0.1285      0.0730     -1.8020      0.0960      2.3520      0.1170     17.9119      0.0066     16.0340      0.0030     14.5380      0.0320     14.1240      0.0450     13.8410      0.0610      ------      ------      ------      ------      ------      ------      ------      ------     13.2610      0.0260     13.2830      0.0370      9.6670      0.0680      6.6590      0.0820      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.60   112.59567500000   -18.55151700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6980      0.1760     15.7930      0.1980     14.8400      0.1220      ------      ------      ------      ------      ------      ------      ------      ------     14.1590      0.0460     13.9420      0.0580      9.6490      0.1270      8.3620      0.4170      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.60   112.56216700000   -18.59842700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0390      ------     15.4730      ------     15.0100      0.1970      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.60   112.59187247800   -18.56335084910      0.3562      0.1114     -3.8970      0.1360     -0.3100      0.1530     18.1942      0.0124     16.7441      0.0046     15.5310      0.0660     15.0960      0.0880     14.9180      0.1400      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.61   112.48706670400   -18.46352297590      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2040      ------     15.2310      0.1810     14.7060      0.1600      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   4.64   112.44396652100   -18.56995041050      0.4043      0.2020     -4.0980      0.2590      3.7400      0.2780     19.5699      0.0283     17.7206      0.0090     16.4060      0.1350     15.6590      0.1610     15.4160      0.2280      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
