DR2Name,RA_ICRS,DE_ICRS,Gmag,e_Gmag,BP-RP,e_BP-RP,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026532989567090560,0.0035183509864843867,-0.009826550345000129,19.609387594842072,0.004508097984949471,2.289376787363686,0.04116958851244462,-0.4858,-1.438,2.647,0.4452,0.562,0.71,0.982,1
Gaia DR2 3026533234378205440,-0.01920839338515454,-0.006747263964999917,20.341143980914637,0.006433619508830321,1.9475191936388079,0.0651064834843533,0.1655,-2.808,0.557,0.6849,0.902,0.963,0.982,1
Gaia DR2 3026539075533680128,0.0029033359742900687,0.0077135173449995875,19.70943046274336,0.007212334545194853,2.466873309876682,0.0357987738897682,-0.4675,-3.185,3.055,0.4267,0.631,0.706,0.981,1
Gaia DR2 3026538869385933184,0.02039084887867517,-0.002081447024998795,19.5670206755874,0.0040341333828354245,2.262588957208841,0.05330787894058153,0.0979,-0.925,2.197,0.4058,0.527,0.602,0.979,1
Gaia DR2 3026532993870686464,-0.00028496671316067894,-0.012212625954997947,20.119840213061416,0.005876799339719789,2.0749339389877974,0.08745150663802312,-0.164,-1.936,1.218,0.5727,0.722,0.781,0.979,1
Gaia DR2 3026533165658714368,-0.003893773837673388,-0.010986252224999049,20.415804317773937,0.006841198681047599,1.6382914257483243,0.0631882531876827,0.9612,-2.663,4.44,0.8431,0.958,1.062,0.979,1
Gaia DR2 3026533264446545920,-0.005191872372236247,0.006252803504999349,20.341301733404833,0.006272474578585545,1.8607372731738892,0.051520059085123686,-0.3065,-2.166,2.077,0.8533,1.052,1.143,0.978,1
Gaia DR2 3026539144253161856,-0.0001899114838751949,0.00920508123500241,20.37811800456934,0.007050968987228068,1.3469394770268472,0.05675610502980274,0.9968,-3.273,1.123,0.7957,0.982,1.07,0.977,1
Gaia DR2 3026533200018425984,0.006506612716174618,-0.004077656274997565,20.61473766746108,0.008521562246756582,1.7319164735551489,0.061626734887527734,0.7464,-1.012,0.926,0.9162,1.192,1.278,0.976,1
Gaia DR2 3026532993870685440,0.0009375273462646879,-0.010678766154999408,20.64279332182391,0.009991731642223507,1.8159739756699977,0.04956065840853322,-1.655,-2.804,4.118,1.1597,1.286,1.412,0.975,1
Gaia DR2 3026539075533675264,0.009063737911802872,0.0010638740350010778,20.453533176929184,0.007027224626762036,1.5803946744016848,0.04250181156151372,1.0872,-2.958,1.94,0.7044,0.919,1.254,0.97,1
Gaia DR2 3026533165658719104,-0.009491445209374462,-0.009543953974997521,20.584424852668416,0.007750410266121028,2.4254434744667037,0.11512192485673586,0.7019,-0.877,3.376,0.7956,1.045,1.155,0.97,1
Gaia DR2 3026532993859984384,0.015958908424478536,-0.011772478914998885,20.181498281517,0.005554630616276879,2.202439908820221,0.08178914126083255,0.8403,-2.212,3.11,0.5739,0.731,0.84,0.969,1
Gaia DR2 3026539071242332416,0.0012901761146746273,0.009785416195001062,20.66148439357802,0.009700926123021645,2.040301632900949,0.09840697234911927,-1.7175,-2.998,4.09,0.8623,1.137,1.241,0.968,1
Gaia DR2 3026533230084602880,-0.014513640017351122,-0.0003200274449994822,19.964594815537954,0.004767285143444215,2.468093252036951,0.08378232247545303,0.4673,-2.342,2.482,0.4761,0.626,0.671,0.966,1
Gaia DR2 3026539071242334336,0.0076619244903191495,0.013073604925001092,20.32044634784981,0.007421612889111983,1.91788044183739,0.07051300861830842,0.7092,-2.793,2.485,0.6956,0.956,1.008,0.965,1
Gaia DR2 3026539071242333568,0.006160415306244527,0.012439958354999447,20.359674130866942,0.007290602649076448,2.256844258992281,0.10277426265594647,0.2929,0.682,0.592,0.7844,1.08,1.258,0.963,1
Gaia DR2 3026533195727070976,-0.00010718078489751874,0.0002867183450021571,20.46178511413441,0.008655524924930678,1.7516163154452862,0.09696075240561804,0.8428,-3.059,-0.593,1.209,1.4,1.787,0.963,1
